SH, 15, 2002021412,   ,chunshu,   0, 170S,  507E,  25, 1002, TD
SH, 15, 2002021418,   ,chunshu,   0, 165S,  510E,  25, 1002, TD
SH, 15, 2002021500,   ,chunshu,   0, 162S,  512E,  30, 1000, TD
SH, 15, 2002021506,   ,chunshu,   0, 159S,  514E,  30, 1000, TD
SH, 15, 2002021512,   ,chunshu,   0, 158S,  517E,  30, 1000, TD
SH, 15, 2002021518,   ,chunshu,   0, 156S,  519E,  30, 1000, TD
SH, 15, 2002021600,   ,chunshu,   0, 153S,  523E,  35,  997, TS
SH, 15, 2002021606,   ,chunshu,   0, 149S,  528E,  35,  997, TS
SH, 15, 2002021612,   ,chunshu,   0, 146S,  536E,  40,  994, TS
SH, 15, 2002021618,   ,chunshu,   0, 144S,  544E,  50,  987, TS
SH, 15, 2002021700,   ,chunshu,   0, 144S,  553E,  75,  967, TY
SH, 15, 2002021706,   ,chunshu,   0, 145S,  563E,  90,  954, TY
SH, 15, 2002021712,   ,chunshu,   0, 150S,  572E,  90,  954, TY
SH, 15, 2002021718,   ,chunshu,   0, 155S,  581E,  90,  954, TY
SH, 15, 2002021800,   ,chunshu,   0, 161S,  587E,  95,  949, TY
SH, 15, 2002021806,   ,chunshu,   0, 167S,  592E, 105,  938, TY
SH, 15, 2002021812,   ,chunshu,   0, 175S,  595E, 115,  927, TY
SH, 15, 2002021818,   ,chunshu,   0, 182S,  595E, 120,  922, TY
SH, 15, 2002021900,   ,chunshu,   0, 189S,  594E, 120,  922, TY
SH, 15, 2002021906,   ,chunshu,   0, 194S,  592E, 115,  927, TY
SH, 15, 2002021912,   ,chunshu,   0, 200S,  589E, 115,  927, TY
SH, 15, 2002021918,   ,chunshu,   0, 204S,  589E, 115,  927, TY
SH, 15, 2002022000,   ,chunshu,   0, 208S,  589E, 120,  922, TY
SH, 15, 2002022006,   ,chunshu,   0, 211S,  590E, 120,  922, TY
SH, 15, 2002022012,   ,chunshu,   0, 216S,  593E, 120,  922, TY
SH, 15, 2002022018,   ,chunshu,   0, 224S,  598E, 105,  938, TY
SH, 15, 2002022100,   ,chunshu,   0, 232S,  602E,  90,  954, TY
SH, 15, 2002022106,   ,chunshu,   0, 238S,  606E,  75,  967, TY
SH, 15, 2002022112,   ,chunshu,   0, 243S,  610E,  70,  972, TY
SH, 15, 2002022118,   ,chunshu,   0, 247S,  615E,  60,  980, TS
SH, 15, 2002022200,   ,chunshu,   0, 251S,  619E,  50,  987, TS
SH, 15, 2002022206,   ,chunshu,   0, 255S,  623E,  45,  991, TS
SH, 15, 2002022212,   ,chunshu,   0, 260S,  630E,  35,  997, TS
SH, 15, 2002022218,   ,chunshu,   0, 264S,  636E,  30, 1000, TD
