AL, 16, 1949110306,   ,chunshu,   0, 180N,  825W,  35,     , TS
AL, 16, 1949110312,   ,chunshu,   0, 180N,  832W,  45,     , TS
AL, 16, 1949110318,   ,chunshu,   0, 175N,  836W,  55,  993, TS
AL, 16, 1949110400,   ,chunshu,   0, 170N,  839W,  50,     , TS
AL, 16, 1949110406,   ,chunshu,   0, 163N,  841W,  45,     , TS
AL, 16, 1949110412,   ,chunshu,   0, 158N,  842W,  40,     , TS
AL, 16, 1949110414,   ,chunshu,   0, 156N,  841W,  40,     , TS
AL, 16, 1949110418,   ,chunshu,   0, 152N,  839W,  30,     , TD
AL, 16, 1949110500,   ,chunshu,   0, 145N,  836W,  25,     , TD
