AL, 11, 1978083012,   ,chunshu,   0, 278N,  910W,  20,     , TD,    UNNAMED
AL, 11, 1978083018,   ,chunshu,   0, 278N,  903W,  25,     , TD,    UNNAMED
AL, 11, 1978083100,   ,chunshu,   0, 279N,  896W,  30,     , TD,    UNNAMED
AL, 11, 1978083106,   ,chunshu,   0, 279N,  889W,  30,     , TD,    UNNAMED
AL, 11, 1978083112,   ,chunshu,   0, 280N,  882W,  30,     , TD,    UNNAMED
AL, 11, 1978083118,   ,chunshu,   0, 280N,  876W,  25,     , TD,    UNNAMED
AL, 11, 1978090100,   ,chunshu,   0, 280N,  871W,  25,     , TD,    UNNAMED
AL, 11, 1978090106,   ,chunshu,   0, 280N,  866W,  20,     , TD,    UNNAMED
AL, 11, 1978090112,   ,chunshu,   0, 280N,  860W,  20,     , TD,    UNNAMED
