CP, 02, 1997091406,   ,chunshu,   0, 279N, 1306E,  90,     , HU,      OLIWA
CP, 02, 1997091412,   ,chunshu,   0, 283N, 1300E,  90,     , HU,      OLIWA
CP, 02, 1997091418,   ,chunshu,   0, 286N, 1297E,  85,     , HU,      OLIWA
CP, 02, 1997091500,   ,chunshu,   0, 289N, 1295E,  85,     , HU,      OLIWA
CP, 02, 1997091506,   ,chunshu,   0, 293N, 1295E,  85,     , HU,      OLIWA
CP, 02, 1997091512,   ,chunshu,   0, 299N, 1297E,  80,     , HU,      OLIWA
CP, 02, 1997091518,   ,chunshu,   0, 306N, 1301E,  75,     , HU,      OLIWA
CP, 02, 1997091600,   ,chunshu,   0, 316N, 1307E,  70,     , HU,      OLIWA
CP, 02, 1997091606,   ,chunshu,   0, 330N, 1317E,  65,     , HU,      OLIWA
CP, 02, 1997091612,   ,chunshu,   0, 341N, 1331E,  60,     , TS,      OLIWA
CP, 02, 1997091618,   ,chunshu,   0, 351N, 1346E,  45,     , TS,      OLIWA
CP, 02, 1997091700,   ,chunshu,   0, 362N, 1362E,  35,     , TS,      OLIWA
CP, 02, 1997091706,   ,chunshu,   0, 377N, 1384E,  25,     , TD,      OLIWA
