AL, 02, 1974062418,   ,chunshu,   0, 240N,  880W,  30,     , SD,    SUBTROP
AL, 02, 1974062500,   ,chunshu,   0, 254N,  862W,  40,     , SS,    SUBTROP
AL, 02, 1974062506,   ,chunshu,   0, 275N,  832W,  45,     , SS,    SUBTROP
AL, 02, 1974062512,   ,chunshu,   0, 288N,  815W,  55, 1000, SS,    SUBTROP
AL, 02, 1974062518,   ,chunshu,   0, 310N,  787W,  55,     , SS,    SUBTROP
AL, 02, 1974062600,   ,chunshu,   0, 335N,  755W,  35, 1004, EX,    SUBTROP
