CP, 01, 1993082606,   ,chunshu,   0, 337N, 1591E,  60,     , TS,      KEONI
CP, 01, 1993082612,   ,chunshu,   0, 345N, 1591E,  50,     , TS,      KEONI
CP, 01, 1993082618,   ,chunshu,   0, 351N, 1588E,  50,     , TS,      KEONI
CP, 01, 1993082700,   ,chunshu,   0, 356N, 1583E,  45,     , TS,      KEONI
CP, 01, 1993082706,   ,chunshu,   0, 362N, 1583E,  40,     , TS,      KEONI
CP, 01, 1993082712,   ,chunshu,   0, 368N, 1587E,  35,     , TS,      KEONI
CP, 01, 1993082718,   ,chunshu,   0, 369N, 1594E,  35,     , TS,      KEONI
CP, 01, 1993082800,   ,chunshu,   0, 370N, 1604E,  30,     , TD,      KEONI
CP, 01, 1993082806,   ,chunshu,   0, 370N, 1616E,  35,     , TS,      KEONI
CP, 01, 1993082812,   ,chunshu,   0, 365N, 1628E,  25,     , TD,      KEONI
CP, 01, 1993082818,   ,chunshu,   0, 361N, 1640E,  25,     , TD,      KEONI
CP, 01, 1993082900,   ,chunshu,   0, 355N, 1648E,  25,     , TD,      KEONI
CP, 01, 1993082906,   ,chunshu,   0, 349N, 1655E,  25,     , TD,      KEONI
CP, 01, 1993082912,   ,chunshu,   0, 344N, 1660E,  25,     , TD,      KEONI
