SH, 18, 2012040100,   ,chunshu,   0, 155S, 1661E,  20, 1007, DB
SH, 18, 2012040106,   ,chunshu,   0, 157S, 1669E,  25, 1004, TD
SH, 18, 2012040112,   ,chunshu,   0, 157S, 1681E,  30, 1000, TD
SH, 18, 2012040118,   ,chunshu,   0, 172S, 1699E,  35,  996, TS
SH, 18, 2012040200,   ,chunshu,   0, 188S, 1720E,  40,  993, TS
SH, 18, 2012040206,   ,chunshu,   0, 210S, 1741E,  45,  989, TS
SH, 18, 2012040212,   ,chunshu,   0, 232S, 1764E,  45,  989, TS
SH, 18, 2012040218,   ,chunshu,   0, 256S, 1792E,  55,  982, TS
SH, 18, 2012040300,   ,chunshu,   0, 282S, 1782W,  55,  982, TS
SH, 18, 2012040306,   ,chunshu,   0, 306S, 1757W,  50,  985, TS
SH, 18, 2012040312,   ,chunshu,   0, 325S, 1734W,  45,  989, EX
SH, 18, 2012040318,   ,chunshu,   0, 331S, 1709W,  40,  993, EX
