AL, 02, 1856081300,   ,chunshu,   0, 121N,  561W,  70,     , HU
AL, 02, 1856081306,   ,chunshu,   0, 121N,  573W,  70,     , HU
AL, 02, 1856081312,   ,chunshu,   0, 121N,  585W,  70,     , HU
AL, 02, 1856081318,   ,chunshu,   0, 121N,  601W,  70,     , HU
AL, 02, 1856081400,   ,chunshu,   0, 121N,  618W,  70,     , HU
AL, 02, 1856081406,   ,chunshu,   0, 121N,  632W,  70,     , HU
AL, 02, 1856081412,   ,chunshu,   0, 121N,  645W,  70,     , HU
AL, 02, 1856081418,   ,chunshu,   0, 121N,  656W,  70,     , HU
