EP, 13, 2024110112,   ,chunshu,   0, 111N, 1276W,  25, 1007, TD,     INVEST
EP, 13, 2024110118,   ,chunshu,   0, 111N, 1281W,  30, 1006, TD,   THIRTEEN
EP, 13, 2024110200,   ,chunshu,   0, 111N, 1287W,  30, 1006, TD,   THIRTEEN
EP, 13, 2024110206,   ,chunshu,   0, 111N, 1292W,  35, 1005, TS,       LANE
EP, 13, 2024110212,   ,chunshu,   0, 112N, 1297W,  40, 1004, TS,       LANE
EP, 13, 2024110218,   ,chunshu,   0, 113N, 1300W,  40, 1004, TS,       LANE
EP, 13, 2024110300,   ,chunshu,   0, 113N, 1303W,  35, 1006, TS,       LANE
EP, 13, 2024110306,   ,chunshu,   0, 112N, 1309W,  30, 1007, TD,       LANE
EP, 13, 2024110312,   ,chunshu,   0, 111N, 1316W,  25, 1008, LO,       LANE
