AL, 11, 2005082212,   ,chunshu,   0, 194N,  945W,  30, 1006, TD,     INVEST
AL, 11, 2005082218,   ,chunshu,   0, 196N,  950W,  35, 1004, TS,     ELEVEN
AL, 11, 2005082300,   ,chunshu,   0, 197N,  957W,  45, 1001, TS,       JOSE
AL, 11, 2005082303, 30,chunshu,   0, 197N,  964W,  50,  998, TS
AL, 11, 2005082306,   ,chunshu,   0, 197N,  967W,  35, 1002, TS,       JOSE
AL, 11, 2005082312,   ,chunshu,   0, 197N,  977W,  25, 1005, TD,       JOSE
