SH, 09, 2025010712,   , BEST,   0, 121S, 1080E,  15, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010718,   , BEST,   0, 120S, 1072E,  15, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010800,   , BEST,   0, 126S, 1061E,  15, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,    0,   0,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010806,   , BEST,   0, 133S, 1053E,  15, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,    0,   0,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010812,   , BEST,   0, 136S, 1047E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,    0,   0,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010818,   , BEST,   0, 136S, 1040E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 1008,  270,  50,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010900,   , BEST,   0, 136S, 1035E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  170,  50,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010906,   , BEST,   0, 148S, 1032E,  25, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  170,  50,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010912,   , BEST,   0, 155S, 1035E,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  170,  50,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025010918,   , BEST,   0, 167S, 1036E,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1009,  230,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2025011000,   , BEST,   0, 174S, 1035E,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1010,  230,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2025011006,   , BEST,   0, 175S, 1036E,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1010,  230,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2025011012,   , BEST,   0, 177S, 1033E,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1010,  230,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025011018,   , BEST,   0, 177S, 1033E,  25,  997, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2025011100,   , BEST,   0, 181S, 1030E,  25,  998, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2025011106,   , BEST,   0, 187S, 1026E,  25, 1002, TD,   0,    ,    0,    0,    0,    0, 1008,  110,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
SH, 09, 2025011112,   , BEST,   0, 188S, 1024E,  25, 1003, TD,   0,    ,    0,    0,    0,    0, 1008,  100,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST,  , 
