CP, 05, 1997121600,   ,chunshu,   0, 135N, 1462E, 130,     , HU,       PAKA
CP, 05, 1997121606,   ,chunshu,   0, 137N, 1453E, 125,     , HU,       PAKA
CP, 05, 1997121612,   ,chunshu,   0, 137N, 1447E, 130,     , HU,       PAKA
CP, 05, 1997121618,   ,chunshu,   0, 137N, 1439E, 135,     , HU,       PAKA
CP, 05, 1997121700,   ,chunshu,   0, 137N, 1430E, 140,     , HU,       PAKA
CP, 05, 1997121706,   ,chunshu,   0, 137N, 1421E, 145,     , HU,       PAKA
CP, 05, 1997121712,   ,chunshu,   0, 138N, 1414E, 150,     , HU,       PAKA
CP, 05, 1997121718,   ,chunshu,   0, 140N, 1406E, 155,     , HU,       PAKA
CP, 05, 1997121800,   ,chunshu,   0, 143N, 1397E, 160,     , HU,       PAKA
CP, 05, 1997121806,   ,chunshu,   0, 146N, 1390E, 145,     , HU,       PAKA
CP, 05, 1997121812,   ,chunshu,   0, 149N, 1382E, 140,     , HU,       PAKA
CP, 05, 1997121818,   ,chunshu,   0, 150N, 1373E, 135,     , HU,       PAKA
CP, 05, 1997121900,   ,chunshu,   0, 153N, 1363E, 130,     , HU,       PAKA
CP, 05, 1997121906,   ,chunshu,   0, 157N, 1356E, 125,     , HU,       PAKA
CP, 05, 1997121912,   ,chunshu,   0, 161N, 1350E, 120,     , HU,       PAKA
CP, 05, 1997121918,   ,chunshu,   0, 165N, 1343E, 115,     , HU,       PAKA
CP, 05, 1997122000,   ,chunshu,   0, 168N, 1338E, 110,     , HU,       PAKA
CP, 05, 1997122006,   ,chunshu,   0, 171N, 1334E,  95,     , HU,       PAKA
CP, 05, 1997122012,   ,chunshu,   0, 173N, 1332E,  85,     , HU,       PAKA
CP, 05, 1997122018,   ,chunshu,   0, 174N, 1331E,  65,     , HU,       PAKA
CP, 05, 1997122100,   ,chunshu,   0, 175N, 1329E,  45,     , TS,       PAKA
CP, 05, 1997122106,   ,chunshu,   0, 175N, 1326E,  40,     , TS,       PAKA
CP, 05, 1997122118,   ,chunshu,   0, 176N, 1320E,  30,     , TD,       PAKA
CP, 05, 1997122200,   ,chunshu,   0, 177N, 1318E,  25,     , TD,       PAKA
CP, 05, 1997122206,   ,chunshu,   0, 179N, 1316E,  20,     , TD,       PAKA
CP, 05, 1997122212,   ,chunshu,   0, 184N, 1314E,  20,     , TD,       PAKA
